Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,wOBA,wRC,wRAA,G,P,PA,AB,BA,OBP,SLG,OPS,ISO,K%,BB%,K/BB,HR%,R/G,AB/HR,BABIP,OutRate,WOBA,SB%,wRC_per_PA,wRC_plus
1172,1143040000,C. Bayne,Carson Bayne,Bayne,Carson,CF,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,0.383,39.331,11.1,54,783,222,196,0.291,0.374,0.51,0.884,0.219,22.1%,8.1%,2.72,4.5%,0.61,19.60,0.343,65.0%,0.383,25.0%,0.17716666666666667,16.018462387863142
1174,1752317238,C. Cleveland,Cole Cleveland,Cleveland,Cole,CF,Florida International University,FIU,4468,Florida International,BBC,L,R,0.386,30.184,8.8,46,695,168,141,0.291,0.395,0.489,0.885,0.199,26.8%,9.5%,2.81,3.0%,0.63,28.20,0.391,58.7%,0.386,92.9%,0.17966666666666667,16.256557625958383
1175,1279684864,W. French,Wil French,French,Wil,1B,Arkansas State University,ARST,730290176,Arkansas State,BBC,S,R,0.383,44.468833333333336,12.6,54,997,251,203,0.291,0.41,0.468,0.878,0.177,8.8%,15.5%,0.56,2.0%,0.87,40.60,0.3,65.0%,0.383,62.5%,0.17716666666666667,16.038382706588244
1176,1310533888,K. Kepley,Kane Kepley,Kepley,Kane,CF,University of North Carolina,UNC,730181888,North Carolina,BBC,L,L,0.401,59.37950000000001,20.1,61,1238,309,234,0.291,0.451,0.444,0.896,0.154,7.1%,14.2%,0.5,1.0%,1.21,78.00,0.307,66.5%,0.401,93.8%,0.19216666666666668,17.523316756795182
1176,1299825664,T. Shulman,Tyler Shulman,Shulman,Tyler,3B,Harvard University,HARV,5450,Harvard,BBC,L,R,0.348,20.719999999999995,3.2,36,495,140,117,0.291,0.377,0.41,0.787,0.12,12.9%,9.3%,1.38,2.1%,0.47,39.00,0.313,64.6%,0.348,100.0%,0.14799999999999996,13.304176673577429
1176,1759880696,T. Vogler,Tate Vogler,Vogler,Tate,3B,Columbia University,CLMB,730319104,Columbia,BBC,L,R,0.369,22.342499999999998,5.3,40,551,135,117,0.291,0.378,0.47,0.848,0.179,26.7%,11.9%,2.25,2.2%,0.68,39.00,0.392,59.5%,0.369,100.0%,0.16549999999999998,14.94438831378907
1179,1237388544,P. Seals,Pierre Seals,Seals,Pierre,RF,University of Missouri,MIZZ,4806,Missouri,BBC,R,R,0.36,27.175999999999995,5.5,45,727,172,148,0.291,0.374,0.446,0.82,0.155,33.7%,9.9%,3.41,2.9%,0.4,29.60,0.437,54.0%,0.36,66.7%,0.15799999999999997,14.216136806467794
1180,1165732096,S. Parks,Sam Parks,Parks,Sam,CF,Stonehill College,SC,730238464,Stonehill,BBC,L,L,0.404,50.418666666666674,17.4,52,1021,259,179,0.291,0.47,0.425,0.894,0.134,9.3%,21.2%,0.44,1.5%,1.02,44.75,0.31,66.5%,0.404,76.9%,0.19466666666666668,17.73660910600986
1180,1342167905,A. Tirado,Anthony Tirado,Tirado,Anthony,CF,University of Massachusetts,MASS,5451,UMass,BBC,L,R,0.379,38.590999999999994,10.5,48,805,222,179,0.291,0.423,0.413,0.836,0.123,17.6%,11.7%,1.5,1.8%,0.94,44.75,0.353,64.0%,0.379,70.8%,0.1738333333333333,15.748192117592874
1182,1263499009,N. Leehey,Nick Leehey,Leehey,Nick,2B,UC Davis,UCD,730153984,UC Davis,BBC,R,R,0.356,27.066666666666663,5.0,43,573,175,155,0.29,0.371,0.432,0.804,0.142,21.1%,8.6%,2.47,2.9%,0.56,31.00,0.354,61.1%,0.356,100.0%,0.15466666666666665,13.875605245006001
1182,1077703168,H. Kaufman,Harrison Kaufman,Kaufman,Harrison,3B,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,0.421,34.248666666666665,13.2,38,635,164,124,0.29,0.425,0.565,0.99,0.274,22.6%,12.8%,1.76,4.9%,0.82,15.50,0.337,61.4%,0.421,100.0%,0.20883333333333332,19.067242875668022
1184,1195516928,C. Matlon,Caden Matlon,Matlon,Caden,C,University of Akron,AKR,540536064,Akron,BBC,R,R,0.377,34.43333333333333,9.1,48,744,200,162,0.29,0.412,0.432,0.844,0.142,14.0%,10.5%,1.33,1.5%,0.63,54.00,0.331,64.7%,0.377,100.0%,0.17216666666666666,15.568462387863141
1184,1192458240,D. Smiley,Demarckus Smiley,Smiley,Demarckus,C,Alabama State University,ALST,4765,Alabama State,BBC,L,R,0.335,25.375833333333333,2.2,43,647,185,162,0.29,0.373,0.377,0.75,0.086,16.2%,9.7%,1.67,0.5%,0.63,162.00,0.348,61.4%,0.335,-,0.13716666666666666,12.207651577052332
1186,1116251136,A. Zollo,Anthony Zollo,Zollo,Anthony,LF,Iona College,IONA,730242048,Iona,BBC,R,R,0.296,22.503333333333327,-4.1,47,669,215,200,0.29,0.329,0.335,0.664,0.045,9.3%,5.6%,1.67,0.0%,0.43,-,0.32,64.1%,0.296,100.0%,0.10466666666666663,9.1114856436771
1186,1427963561,B. Castelli,Ben Castelli,Castelli,Ben,2B,California Baptist University,CBU,5091,California Baptist,BBC,L,R,0.381,42.471,11.9,55,922,242,200,0.29,0.4,0.47,0.87,0.18,23.1%,9.9%,2.33,3.3%,0.93,25.00,0.362,62.3%,0.381,82.6%,0.1755,15.935817759763971
1188,1310831104,M. Russo,Matthew Russo,Russo,Matthew,1B,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,R,0.415,61.14999999999999,22.7,63,1141,300,245,0.29,0.407,0.563,0.97,0.273,18.3%,10.0%,1.83,6.0%,0.78,13.61,0.301,68.8%,0.415,-,0.2038333333333333,18.58512905452981
1189,1089460923,M. Rienstra-Kiracofe,Micah Rienstra-Kiracofe,Rienstra-Kiracofe,Micah,CF,Kent State University,KENT,730315008,Kent State,BBC,R,R,0.336,34.362,3.2,56,908,249,214,0.29,0.366,0.393,0.758,0.103,14.1%,8.0%,1.75,0.8%,0.91,107.00,0.331,63.0%,0.336,89.3%,0.138,12.30360295011214
1190,1100871936,R. MacDougall,Ryan MacDougall,MacDougall,Ryan,C,University of Dayton,DAY,730194688,Dayton,BBC,L,R,0.402,44.004,14.9,51,815,228,183,0.29,0.414,0.519,0.933,0.23,17.1%,14.5%,1.18,3.9%,0.75,20.33,0.319,65.9%,0.402,100.0%,0.19299999999999998,17.553550107161385
1191,1100792832,J. Lucky,Jaylon Lucky,Lucky,Jaylon,LF,Southern University,SOU,4767,Southern,BBC,R,R,0.414,33.291999999999994,12.3,40,544,164,114,0.289,0.475,0.447,0.923,0.158,7.9%,16.5%,0.48,1.2%,0.82,57.00,0.301,67.0%,0.414,80.0%,0.20299999999999996,18.518462387863146
1191,1136711424,S. Busch,Sam Busch,Busch,Sam,1B,Michigan State University,MSU,1551,Michigan State,BBC,L,L,0.4,43.43266666666666,14.5,54,914,227,190,0.289,0.381,0.584,0.965,0.295,15.9%,12.8%,1.24,6.6%,0.74,12.67,0.278,71.5%,0.4,66.7%,0.19133333333333333,17.40612758610103
1191,1099661312,J. DeCriscio,Justin DeCriscio,DeCriscio,Justin,SS,North Carolina State University,NCST,730216448,North Carolina State,BBC,R,R,0.378,39.962999999999994,10.7,52,863,231,190,0.289,0.383,0.5,0.883,0.211,9.5%,10.0%,0.96,3.5%,0.87,23.75,0.281,68.9%,0.378,100.0%,0.173,15.650497019897774
1191,1400143090,J. Morton,Joey Morton,Morton,Joey,1B,Campbell University,CAMP,730187776,Campbell,BBC,L,L,0.417,47.26499999999999,17.8,53,890,230,190,0.289,0.4,0.589,0.989,0.3,19.6%,12.2%,1.61,5.7%,0.75,14.62,0.311,67.4%,0.417,66.7%,0.20549999999999996,18.75759282264575
1195,1408531850,S. Grube,Sam Grube,Grube,Sam,2B,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,R,0.372,41.495999999999995,10.4,50,910,247,197,0.289,0.412,0.431,0.844,0.142,10.1%,16.2%,0.63,1.6%,0.96,49.25,0.308,65.1%,0.372,74.2%,0.16799999999999998,15.228988703652618
1196,1310653952,J. Wagoner,Jake Wagoner,Wagoner,Jake,C,Seattle University,SEA,4504,Seattle,BBC,R,R,0.348,27.527999999999995,4.2,46,559,186,166,0.289,0.353,0.446,0.799,0.157,10.8%,8.1%,1.33,2.2%,0.48,41.50,0.308,65.0%,0.348,100.0%,0.14799999999999996,13.276526903992176
1196,1266603520,T. Dooley,Ty Dooley,Dooley,Ty,SS,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,L,R,0.396,41.924,13.5,54,932,223,166,0.289,0.434,0.452,0.886,0.163,21.1%,11.7%,1.81,2.7%,0.8,27.67,0.365,61.7%,0.396,83.3%,0.188,17.07227404705597
1196,1263747328,B. Kleiman,Brendan Kleiman,Kleiman,Brendan,C,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,0.341,27.7225,3.2,45,740,195,166,0.289,0.385,0.367,0.752,0.078,16.9%,10.3%,1.65,1.0%,0.73,83.00,0.346,61.7%,0.341,0.0%,0.14216666666666666,12.659488028888783
1199,1212105473,C. Sefcik,Cal Sefcik,Sefcik,Cal,LF,University of Cincinnati,CIN,5465,Cincinnati,BBC,R,R,0.355,37.99683333333332,6.9,56,896,247,211,0.289,0.368,0.45,0.819,0.161,16.2%,11.7%,1.38,2.8%,0.57,30.14,0.318,66.5%,0.355,100.0%,0.1538333333333333,13.81198465506962
1200,1342167149,J. Ferguson,Jake Ferguson,Ferguson,Jake,SS,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,0.375,28.984999999999996,7.4,40,653,170,128,0.289,0.436,0.383,0.818,0.094,20.0%,16.5%,1.21,0.6%,0.88,128.00,0.383,60.6%,0.375,50.0%,0.17049999999999998,15.371403564333729
1200,1161521072,L. Clark,Levi Clark,Clark,Levi,C,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,0.445,39.35933333333333,17.2,51,758,172,128,0.289,0.459,0.594,1.053,0.305,22.7%,20.3%,1.11,5.8%,0.59,12.80,0.333,63.0%,0.445,100.0%,0.22883333333333333,21.018462387863142
1202,1692368056,V. Feliciano,Vicente Feliciano,Feliciano,Vicente,2B,Seattle University,SEA,4504,Seattle,BBC,L,R,0.362,31.45433333333333,6.5,49,697,197,173,0.289,0.354,0.491,0.845,0.202,18.3%,7.6%,2.4,4.1%,0.53,21.63,0.318,63.6%,0.362,100.0%,0.15966666666666665,14.317954773649944
1203,1297354752,M. Neville,Mason Neville,Neville,Mason,CF,University of Oregon,ORE,4807,Oregon,BBC,L,L,0.466,68.97333333333334,32.7,57,1162,280,218,0.289,0.429,0.72,1.149,0.431,23.6%,18.9%,1.25,9.3%,1.18,8.38,0.282,67.9%,0.466,61.5%,0.24633333333333338,22.697033816434576
1204,1099740416,T. Peterson,Tyler Peterson,Peterson,Tyler,SS,Seattle University,SEA,4504,Seattle,BBC,L,R,0.328,27.448666666666664,1.3,52,664,209,180,0.289,0.366,0.361,0.727,0.072,14.4%,9.6%,1.5,0.5%,0.46,180.00,0.342,65.1%,0.328,100.0%,0.13133333333333333,11.640471957241134
1204,1237406976,J. Pearson,Josh Pearson,Pearson,Josh,RF,Louisiana State University,LSU,5323,Louisiana State,BBC,L,R,0.404,34.650666666666666,12.0,55,695,178,135,0.289,0.434,0.496,0.931,0.207,14.6%,12.9%,1.13,3.9%,0.67,19.29,0.305,68.6%,0.404,100.0%,0.19466666666666665,17.760035421571008
1204,1185347328,E. Apodaca,Enzo Apodaca,Apodaca,Enzo,RF,Baylor University,BAY,3033,Baylor,BBC,L,L,0.373,44.90966666666666,11.3,55,1021,266,225,0.289,0.391,0.458,0.849,0.169,10.2%,10.5%,0.96,2.3%,1.02,37.50,0.304,67.5%,0.373,75.0%,0.1688333333333333,15.26658268861502
1204,1242490880,T. Leonard,Tanner Leonard,Leonard,Tanner,2B,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,0.34,23.17866666666667,2.6,47,593,164,135,0.289,0.385,0.37,0.755,0.081,16.5%,11.0%,1.5,0.6%,0.49,135.00,0.345,63.6%,0.34,100.0%,0.14133333333333334,12.603828241521681
1204,1275097856,T. Sanders,Troy Sanders,Sanders,Troy,SS,Grand Canyon University,GC,5310,Grand Canyon,BBC,R,R,0.296,20.619333333333326,-3.8,50,685,197,180,0.289,0.323,0.344,0.667,0.056,14.7%,4.1%,3.63,0.5%,0.64,180.00,0.336,63.8%,0.296,75.0%,0.10466666666666663,9.089528377710861
1204,1686573078,H. Brignac,Hudson Brignac,Brignac,Hudson,2B,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,0.349,33.04099999999999,5.1,56,828,222,180,0.289,0.404,0.361,0.765,0.072,15.8%,14.0%,1.13,0.0%,0.63,-,0.354,61.2%,0.349,83.3%,0.1488333333333333,13.315759685160439
1210,1266589184,M. Zarrillo,Michael Zarrillo,Zarrillo,Michael,3B,Lafayette College,LAF,730217728,Lafayette,BBC,S,R,0.355,32.76649999999999,5.9,49,746,213,187,0.289,0.365,0.444,0.809,0.155,20.2%,9.4%,2.15,2.8%,0.78,31.17,0.345,63.3%,0.355,100.0%,0.1538333333333333,13.788415439506336
1211,1334280704,B. North,Ben North,North,Ben,SS,Creighton University,CREI,730243840,Creighton,BBC,R,R,0.369,46.00899999999999,10.9,59,1061,278,239,0.289,0.378,0.469,0.846,0.18,23.0%,10.1%,2.29,2.9%,0.81,29.88,0.363,59.6%,0.369,93.8%,0.16549999999999998,14.939325697215661
1212,1184596736,C. Hoalcraft,Chris Hoalcraft,Hoalcraft,Chris,SS,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,0.355,35.07399999999999,6.4,48,780,228,194,0.289,0.367,0.454,0.821,0.165,12.7%,9.6%,1.32,3.1%,0.75,27.71,0.301,65.6%,0.355,83.3%,0.1538333333333333,13.825479931722795
1212,1092992512,R. Kucherak,Ryan Kucherak,Kucherak,Ryan,SS,Northwestern University,NW,730247680,Northwestern,BBC,R,R,0.426,47.71199999999999,19.0,52,850,224,194,0.289,0.379,0.639,1.019,0.351,21.0%,8.9%,2.35,8.0%,0.79,10.78,0.292,68.5%,0.426,50.0%,0.21299999999999994,19.500605245005996
1214,1330961408,R. Ferremi,Ryan Ferremi,Ferremi,Ryan,1B,University at Albany,ALBY,730280448,Albany,BBC,L,R,0.394,47.14233333333333,14.9,54,961,253,201,0.289,0.431,0.463,0.894,0.174,17.0%,13.8%,1.23,1.6%,0.76,50.25,0.348,63.9%,0.394,91.7%,0.18633333333333332,16.907790451104248
1215,1273172737,K. Spence,Keenan Spence,Spence,Keenan,RF,Purdue University,PUR,730353152,Purdue,BBC,R,R,0.375,30.689999999999998,7.9,47,654,180,156,0.288,0.367,0.506,0.873,0.218,31.1%,7.8%,4.0,3.9%,0.57,22.29,0.396,56.3%,0.375,100.0%,0.17049999999999998,15.407351276752035
1215,1711212873,G. Roy,Gavin Roy,Roy,Gavin,SS,Washington State University,WSU,4505,Washington State,BBC,R,R,0.321,30.2455,0.2,54,839,241,208,0.288,0.361,0.356,0.717,0.067,12.4%,7.5%,1.67,1.2%,0.54,69.33,0.318,65.9%,0.321,80.0%,0.1255,11.101449939730363
1217,1143047680,D. Carey,Dylan Carey,Carey,Dylan,SS,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,0.369,44.8505,10.6,62,986,271,222,0.288,0.377,0.486,0.864,0.198,19.9%,7.7%,2.57,3.0%,0.79,27.75,0.335,63.5%,0.369,83.3%,0.16549999999999998,14.929901502254289
1217,1806377050,K. Branch,Kyle Branch,Branch,Kyle,2B,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,0.324,32.384,0.8,60,969,253,222,0.288,0.357,0.365,0.722,0.077,13.0%,7.5%,1.74,0.8%,0.63,111.00,0.328,65.1%,0.324,100.0%,0.128,11.334667921459983
1219,1699988554,D. Alana,Diego Alana,Alana,Diego,SS,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,S,R,0.32,25.805999999999997,0.0,51,804,207,177,0.288,0.36,0.356,0.716,0.068,11.6%,10.1%,1.14,0.5%,0.43,177.00,0.321,65.4%,0.32,50.0%,0.12466666666666665,11.018462387863144
1220,1361255396,S. Darnell,Sean Darnell,Darnell,Sean,2B,Troy University,TROY,730378496,Troy,BBC,L,R,0.365,46.379666666666665,10.2,60,1092,286,243,0.288,0.385,0.444,0.829,0.156,17.1%,10.8%,1.58,2.1%,0.82,40.50,0.335,66.0%,0.365,83.3%,0.16216666666666665,14.584895954296712
1221,1131573504,T. Rollauer,Thomas Rollauer,Rollauer,Thomas,RF,The Citadel,CIT,730366720,The Citadel,BBC,R,R,0.336,31.878000000000004,3.0,56,837,231,184,0.288,0.393,0.337,0.73,0.049,19.5%,10.0%,1.96,0.0%,0.57,-,0.376,55.3%,0.336,73.9%,0.138,12.317163686564443
1222,1092657664,S. White,Sean White,White,Sean,C,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,0.364,37.59066666666666,8.2,54,922,233,191,0.288,0.379,0.45,0.83,0.162,17.6%,9.4%,1.86,3.4%,0.57,23.88,0.324,65.5%,0.364,-,0.1613333333333333,14.537775692584177
1222,1310371584,P. McDonald,Parker McDonald,McDonald,Parker,3B,Samford University,SAM,730386432,Samford,BBC,R,R,0.41,44.12633333333333,15.9,53,850,221,191,0.288,0.38,0.586,0.966,0.298,24.4%,10.0%,2.45,5.9%,0.94,14.69,0.336,64.8%,0.41,84.6%,0.19966666666666663,18.21303252360975
1224,1341664768,C. Becker,Colten Becker,Becker,Colten,LF,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,L,0.372,39.647999999999996,9.8,53,962,236,198,0.288,0.398,0.444,0.843,0.157,27.5%,12.7%,2.17,2.5%,0.38,33.00,0.398,58.6%,0.372,55.6%,0.16799999999999998,15.1710047607445
1224,1123968000,K. Schupmann,Kyle Schupmann,Schupmann,Kyle,3B,University of Illinois,ILL,730163456,Illinois,BBC,R,R,0.4,44.772,15.0,52,908,234,198,0.288,0.389,0.545,0.934,0.258,21.8%,11.1%,1.96,5.6%,0.94,15.23,0.324,66.9%,0.4,85.7%,0.19133333333333333,17.42871879811955
1226,1836125891,J. Lee,Jacob Lee,Lee,Jacob,C,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,0.42,51.16799999999999,19.7,53,968,246,205,0.288,0.39,0.62,1.01,0.332,28.0%,11.0%,2.56,6.9%,0.83,12.06,0.341,60.2%,0.42,80.0%,0.20799999999999996,19.026592469163955
1227,1162472448,M. Ryan,Matt Ryan,Ryan,Matt,2B,Lamar University,LAM,730162432,Lamar,BBC,R,R,0.441,43.29599999999999,18.6,51,784,192,139,0.288,0.479,0.525,1.004,0.237,21.9%,17.7%,1.24,4.2%,0.92,17.38,0.356,58.9%,0.441,75.0%,0.22549999999999995,20.705962387863142
1228,1166182912,J. Hyde,Jake Hyde,Hyde,Jake,1B,Duke University,DUKE,730336256,Duke,BBC,L,R,0.401,51.69283333333334,17.5,58,1082,269,219,0.288,0.403,0.539,0.942,0.251,23.0%,15.6%,1.48,4.5%,0.83,18.25,0.342,65.1%,0.401,100.0%,0.19216666666666668,17.52403859604158
1228,1238257664,E. Garza,Eddie Garza,Garza,Eddie,2B,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,0.357,27.367999999999995,5.2,48,682,176,146,0.288,0.397,0.397,0.794,0.11,13.6%,14.2%,0.96,1.7%,0.52,48.67,0.325,66.7%,0.357,-,0.15549999999999997,13.973007842408597
1230,1162535680,J. Tucker,Jackson Tucker,Tucker,Jackson,CF,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,0.341,38.527166666666666,4.6,53,978,271,226,0.288,0.393,0.354,0.747,0.066,7.4%,13.3%,0.56,0.4%,1.26,226.00,0.311,64.1%,0.341,88.6%,0.14216666666666666,12.715879362032883
1231,1302561280,M. Giberti,Matt Giberti,Giberti,Matt,CF,Harvard University,HARV,5450,Harvard,BBC,L,R,0.318,22.139999999999997,-0.3,42,651,180,153,0.288,0.351,0.366,0.717,0.078,21.1%,6.7%,3.17,0.6%,0.71,153.00,0.364,61.9%,0.318,87.5%,0.12299999999999998,10.851795721196476
1231,1141526016,J. Carrion,Jordan Carrion,Carrion,Jordan,2B,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,0.309,19.981499999999997,-1.5,47,597,173,153,0.288,0.333,0.366,0.699,0.078,15.0%,5.8%,2.6,0.0%,0.62,-,0.344,64.1%,0.309,85.7%,0.11549999999999998,10.151410364741757
1233,1334287616,G. Roessler,Gabe Roessler,Roessler,Gabe,SS,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,0.39,52.704,16.1,59,1033,288,233,0.288,0.41,0.476,0.886,0.189,9.0%,12.5%,0.72,3.1%,0.97,25.89,0.295,66.5%,0.39,80.0%,0.183,16.608740165640924
1233,1293885714,M. Tanaka,Makani Tanaka,Tanaka,Makani,CF,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,L,R,0.354,40.85099999999999,7.2,59,1008,267,233,0.288,0.375,0.425,0.799,0.137,20.6%,9.0%,2.29,1.9%,0.78,46.60,0.356,63.8%,0.354,66.7%,0.15299999999999997,13.715091601346291
1235,1240776448,P. Herrera,Patrick Herrera,Herrera,Patrick,3B,University of Kentucky,UK,5362,Kentucky,BBC,R,R,0.381,37.732499999999995,10.5,52,815,215,160,0.287,0.44,0.394,0.834,0.106,15.3%,13.5%,1.14,0.9%,0.73,80.00,0.344,64.1%,0.381,82.4%,0.17549999999999996,15.902183318095704
1236,1195528019,B. Miller,Brady Miller,Miller,Brady,2B,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,0.358,34.08066666666666,6.6,49,791,218,181,0.287,0.384,0.431,0.815,0.144,19.3%,11.9%,1.62,0.9%,0.67,90.50,0.355,59.6%,0.358,77.8%,0.1563333333333333,14.045985323642963
1236,1040576277,R. Howard,Reid Howard,Howard,Reid,SS,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,0.351,31.303999999999995,5.2,54,765,208,181,0.287,0.356,0.448,0.804,0.16,12.0%,8.7%,1.39,2.9%,0.76,30.17,0.305,66.9%,0.351,88.9%,0.15049999999999997,13.518462387863146
1238,1100789760,B. Wooldridge,Braydon Wooldridge,Wooldridge,Braydon,TWP,UC Davis,UCD,730153984,UC Davis,BBC,L,L,0.334,30.129666666666665,2.5,53,758,221,188,0.287,0.376,0.378,0.753,0.09,6.8%,10.9%,0.63,0.9%,0.45,94.00,0.297,68.6%,0.334,75.0%,0.13633333333333333,12.149684107320157
1238,1255817728,A. Lazits,Anton Lazits,Lazits,Anton,RF,Columbia University,CLMB,730319104,Columbia,BBC,R,R,0.424,48.60666666666666,19.2,48,958,230,188,0.287,0.4,0.612,1.012,0.324,20.0%,11.3%,1.77,6.1%,0.98,13.43,0.303,66.7%,0.424,90.0%,0.21133333333333332,19.366288474819665
1240,1251443200,A. Calarco,Alex Calarco,Calarco,Alex,C,University of Maryland-College Park,MD,730172928,Maryland,BBC,S,R,0.438,58.87199999999999,25.0,56,1062,264,209,0.287,0.432,0.612,1.044,0.325,20.8%,17.4%,1.2,7.2%,1.0,11.00,0.301,64.7%,0.438,-,0.22299999999999998,20.48815935756011
1241,1304090880,F. Sarota,Filip Sarota,Sarota,Filip,LF,Lindenwood University,LU,730322176,Lindenwood,BBC,R,R,0.362,40.87466666666666,8.5,58,848,256,223,0.287,0.369,0.466,0.835,0.179,20.7%,7.8%,2.65,3.1%,0.62,27.88,0.341,62.2%,0.362,66.7%,0.15966666666666665,14.338774887863142
1242,1698176328,B. Grizzaffi,Bryce Grizzaffi,Grizzaffi,Bryce,C,Lamar University,LAM,730162432,Lamar,BBC,R,R,0.336,21.252000000000002,2.0,47,547,154,122,0.287,0.401,0.328,0.729,0.041,8.4%,11.7%,0.72,0.6%,0.62,122.00,0.312,68.8%,0.336,100.0%,0.138,12.317163686564443
1243,1137355264,T. Neuer,Trenton Neuer,Neuer,Trenton,LF,Ohio University,OHIO,730298368,Ohio,BBC,R,R,0.355,27.689999999999994,5.1,45,673,180,143,0.287,0.414,0.357,0.77,0.07,18.9%,14.4%,1.31,0.6%,0.64,143.00,0.37,61.1%,0.355,100.0%,0.1538333333333333,13.851795721196474
1244,1934931278,J. Outlaw,Josh Outlaw,Outlaw,Josh,RF,Illinois State University,ILST,730258944,Illinois State,BBC,L,L,0.318,20.909999999999997,-0.2,43,528,170,150,0.287,0.341,0.38,0.721,0.093,15.9%,4.1%,3.86,0.6%,0.49,150.00,0.336,63.2%,0.318,75.0%,0.12299999999999998,10.900815329039613
1245,1210577664,T. Cowan,Ty Cowan,Cowan,Ty,2B,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,L,R,0.352,29.50999999999999,5.0,44,692,195,157,0.287,0.394,0.389,0.782,0.102,6.2%,13.8%,0.44,1.5%,0.59,52.33,0.292,69.4%,0.352,50.0%,0.1513333333333333,13.58256495196571
1246,1124743680,T. McGuire,Tim McGuire,McGuire,Tim,3B,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,L,R,0.36,33.495999999999995,6.8,49,714,212,164,0.287,0.422,0.366,0.787,0.079,13.7%,15.1%,0.91,0.5%,0.61,164.00,0.341,63.0%,0.36,62.5%,0.15799999999999997,14.226009557674463
1247,1239374080,Z. Kent,Zack Kent,Kent,Zack,2B,Binghamton University,BING,730155776,Binghamton,BBC,R,R,0.359,32.219166666666666,6.5,50,743,205,171,0.287,0.381,0.439,0.82,0.152,13.2%,9.3%,1.42,2.4%,0.6,34.20,0.31,66.9%,0.359,80.0%,0.15716666666666668,14.189194095180218
1248,1244314523,T. Spees,Trey Spees,Spees,Trey,2B,Western Carolina University,WCU,730278144,Western Carolina,BBC,L,R,0.363,35.63099999999999,7.6,56,856,222,178,0.287,0.408,0.399,0.807,0.112,18.0%,12.6%,1.43,1.8%,0.73,44.50,0.346,64.7%,0.363,0.0%,0.16049999999999998,14.441885811286564
1249,1123968768,J. Lobliner,Jayden Lobliner,Lobliner,Jayden,C,University of San Diego,USD,5320,San Diego,BBC,R,R,0.357,34.05449999999999,6.5,52,800,219,192,0.286,0.362,0.453,0.816,0.167,20.1%,5.0%,4.0,2.7%,0.62,32.00,0.34,64.6%,0.357,100.0%,0.15549999999999994,13.98649891754351
1250,1198577152,K. Kropf,Koby Kropf,Kropf,Koby,RF,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,0.35,35.02199999999999,5.7,49,873,234,206,0.286,0.352,0.461,0.813,0.175,23.9%,7.3%,3.29,3.0%,0.73,29.43,0.354,62.6%,0.35,-,0.14966666666666664,13.454359823760582
1250,1099693419,B. Iredale,Brent Iredale,Iredale,Brent,3B,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,0.427,59.87333333333333,24.0,65,1185,280,206,0.286,0.45,0.544,0.994,0.257,24.3%,16.4%,1.48,5.0%,0.97,14.71,0.344,64.1%,0.427,90.0%,0.21383333333333332,19.58989095929171
1250,1254818495,L. Penfield,Landon Penfield,Penfield,Landon,3B,College of Charleston,COFC,730177792,College of Charleston,BBC,L,R,0.412,51.74266666666666,18.8,56,1049,257,206,0.286,0.418,0.539,0.957,0.252,18.7%,14.4%,1.3,3.5%,0.79,22.89,0.331,65.6%,0.412,100.0%,0.2013333333333333,18.33363748513941
1253,1092683264,C. Cole,Chris Cole,Cole,Chris,CF,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,L,R,0.372,45.528,11.2,58,1045,271,213,0.286,0.426,0.394,0.821,0.108,19.6%,16.2%,1.2,0.4%,0.69,213.00,0.377,61.6%,0.372,85.2%,0.16799999999999998,15.151303716276427
